Block number, timestamp, reserve A, reserve B, price
7855796,1665200728,3614206.951991,67015677.091296,18.54229101473514
7855806,1665200961,3616916.951991,66965615.655863,18.514557161452245
7855979,1665204324,3619085.210179,66925615.655863,18.492412244848154
7856119,1665207631,3613272.000136,67033612.875863,18.552052785768666
7856192,1665209334,3613412.573509,67031012.875863,18.550611509819625
7856209,1665209620,3618268.510385,67121093.474365,18.55061150981938
7856274,1665210922,3617268.510385,67139705.048947,18.56088505904171
7856330,1665212021,3616268.510385,67158326.932263,18.571167140769948
7856396,1665213419,3616268.510385,67160708.106837,18.571825602542674
7856404,1665213648,3617350.83722,67140673.602184,18.560730386268762
7856409,1665213805,3617345.412796,67140572.920901,18.560730386265547
7856411,1665213867,3617504.59995,67137627.284195,18.559099354047248
7856428,1665214177,3632322.129332,67412627.284177,18.559099354047234
7856711,1665219394,3632472.129332,67409851.885138,18.55756891864562
7856855,1665221986,3632526.232699,67408850.885138,18.557016953750285
7856920,1665223410,3647526.232699,67132468.554244,18.404930978267178
7856944,1665223978,3643639.155447,67204301.763601,18.444280263904567
7856976,1665224554,3644039.155447,67196946.98962,18.440237363853797
7857097,1665227202,3644029.07683,67196761.137521,18.440237363851267
7857153,1665228447,3640116.724206,67269200.707521,18.47995704648567
7857319,1665232540,3640143.862161,67268700.707521,18.479681917732343
7857339,1665233088,3640116.886789,67269200.707521,18.479956221092706
7857455,1665235391,3640161.886789,67268371.614504,18.47950000757842
7857460,1665235493,3640161.886789,67268872.558784,18.47963762351298
7857499,1665236056,3640301.886789,67266293.269866,18.478218390068623
7857506,1665236221,3640331.886789,67265740.590895,18.47791428990492
7857516,1665236497,3639878.836962,67274138.241714,18.482521329711044
7857527,1665236668,3644377.836962,67191336.874794,18.436984275704397
7857551,1665237174,3644577.836962,67187660.741267,18.434963868757
7857644,1665238977,3659277.836962,66918561.878543,18.287368398924315
7857648,1665239082,3654618.636941,67004131.72083,18.334096762805874
7857681,1665239767,3654837.479227,67000131.72083,18.33190452424729
7857694,1665239943,3669537.479227,66732534.227387,18.18554371093232
7857701,1665240041,3664836.390517,66818393.324046,18.23229912717056
7857714,1665240488,3664562.99504,66823393.324046,18.235023770772045
7857741,1665241104,3669962.99504,66725363.688815,18.18148133346171
7857754,1665241435,3670107.99504,66722735.386499,18.18004687509796
7857761,1665241539,3666091.54962,66796054.507202,18.219963577866892
7857792,1665242151,3665947.791574,66793435.240825,18.219963577862842
7857804,1665242443,3665804.470405,66796054.507202,18.221390433249795
7857827,1665243036,3665771.641152,66796654.507202,18.22171729339108
7857890,1665244266,3665323.861261,66804839.377202,18.22617643239274
7857936,1665245179,3666324.63626,66786658.745529,18.216242523918382
7858000,1665246876,3666313.140083,66786449.328367,18.21624252391465
7858125,1665249278,3666230.558045,66784944.993921,18.21624252391092
7858128,1665249353,3660761.914871,66885012.140631,18.270789987441162
7858162,1665250088,3660679.828228,66886516.475083,18.27161063344354
7858232,1665251770,3657636.828228,66942330.686161,18.302071482201328
7858255,1665252261,3654651.32936,66997180.686161,18.332030787159525
7858273,1665252534,3654615.97901,66997830.686152,18.33238596639121
7858301,1665253226,3655272.645553,66985830.686152,18.325809640396287
7858364,1665254747,3655290.645553,66985501.812787,18.325629425468826
7858449,1665256585,3655150.095209,66988085.335918,18.32704091241639
7858736,1665262532,3651833.1321,67049113.755503,18.360399100970465
7858865,1665265029,3652413.1321,67048564.683159,18.357333154316144
7858907,1665265887,3652463.1321,67047649.582592,18.35683131017469
7858964,1665267089,3646656.392272,67154733.912592,18.415426815344166
7859238,1665272645,3647364.583406,67141733.912592,18.408286963705002
7859385,1665275302,3646281.697207,67161733.912592,18.419238964459858
7859406,1665275815,3650281.697207,67088358.239817,18.378953682163605
7859422,1665276113,3650274.790837,67088231.307946,18.37895368215904
7859448,1665276636,3650334.790837,67087131.896954,18.37835040921584
7859462,1665276919,3650597.808861,67082312.907248,18.375706232119263
7859544,1665278419,3650534.788273,67083474.45971,18.376341645944414
7859811,1665283458,3648179.181353,67040187.02216,18.37634164594317
7859930,1665285966,3649459.181353,67016744.070523,18.363472706571613
7860999,1665307720,3649513.85658,67015743.070523,18.362923310921254
7861198,1665312682,3649543.85658,67015193.839989,18.362621870994356
7861214,1665313032,3650090.16131,67005193.839989,18.35713390047909
7861239,1665313596,3650090.16131,67011177.131983,18.358773118068132
7861263,1665314048,3648843.171946,67034147.060317,18.371342340966212
7861343,1665315417,3645186.139093,67101601.428878,18.40827844406714
7861346,1665315448,3645217.227597,67102173.714729,18.408278444070696
7861396,1665316532,3645760.461448,67112173.714718,18.40827844407057
7861419,1665316933,3641994.971175,67181770.364718,18.446420408714474
7861455,1665317742,3643082.778663,67161770.364718,18.435422537767906
7861584,1665320182,3642832.338435,67157153.393293,18.435422537767533
7861605,1665320863,3642332.338435,67166400.110071,18.440491934607586
7861630,1665321440,3641845.811207,67175400.110071,18.445426740295567
7861742,1665323668,3642845.811207,67157015.052747,18.43531637988696
7861787,1665324699,3642836.38967,67157189.264865,18.43541188270294
7861895,1665326952,3642255.080703,67167939.897396,18.441305841882926
7861921,1665327488,3642335.080703,67166469.051052,18.44049697868224
7862121,1665331458,3625538.791983,67478572.188692,18.612012189168823
7862153,1665332019,3628092.017064,67431243.333359,18.585869105912895
7862159,1665332173,3628112.017064,67430872.733166,18.585664504298716
7862164,1665332271,3627139.620474,67449004.610671,18.595646064999467
7862174,1665332596,3627659.620474,67439365.261712,18.5903233261174
7862191,1665332829,3627659.620474,67449004.610671,18.592980507321666
7862391,1665336641,3627794.489411,67446504.610671,18.59160016024542
7862594,1665340864,3627394.489411,67453964.450308,18.59570682130602
7862675,1665342380,3627133.689103,67458829.159225,18.598385100028597
7862687,1665342668,3624455.328089,67508829.159225,18.625923910840182
7862738,1665343767,3624313.853275,67506194.060092,18.625923910836832
7862799,1665344816,3625763.853275,67479278.229256,18.611051618352036
7862838,1665345538,3625720.966733,67478480.065608,18.61105161835173
7862909,1665347012,3625774.860727,67477480.065608,18.61049917812
7862955,1665347907,3628774.860727,67421861.943464,18.57978643788237
7862965,1665348101,3629106.017176,67428014.759565,18.57978643788266
7862980,1665348368,3629538.017176,67420013.320842,18.57537047464207
7863052,1665349922,3634538.017176,67327542.1039,18.524374153118043
7863074,1665350324,3639038.017176,67244534.963876,18.478656899567024
7863163,1665352088,3636986.233008,67282584.717907,18.499543415169974
7863183,1665352596,3636688.290332,67288113.559467,18.50257932150796
7863203,1665352996,3634265.108949,67333113.559467,18.5272982407547
7863237,1665353887,3636745.108949,67287334.848321,18.50207612371456
7863333,1665355690,3636795.108949,67286412.532469,18.501568143582922
7863371,1665356488,3635795.108949,67304974.876372,18.51176231320358
7863412,1665357266,3635647.030263,67307724.434134,18.513272568504817
7863462,1665358256,3636647.030263,67289271.761642,18.503107725793143
7863658,1665362605,3636539.267776,67291271.761642,18.504206006496762
7863678,1665363010,3636573.267776,67290644.511914,18.50386051841232
7863720,1665363864,3636515.696749,67291713.020567,18.50444728747492
7863791,1665365363,3635515.696749,67310278.253464,18.51464382718939
7863930,1665368123,3635434.924644,67311778.253464,18.51546779098391
7864096,1665371520,3635464.924644,67311224.460379,18.515162669866882
7864249,1665374823,3635529.044821,67312411.655886,18.515162669866722
7864288,1665375588,3635525.925024,67312353.892331,18.51516266986506
7864430,1665378374,3634532.561479,67330806.564823,18.5253001385752
7864493,1665379558,3634553.561479,67330418.702849,18.525086386524567
7864601,1665381581,3634603.561479,67329495.239959,18.52457746796494
7864977,1665389463,3634548.158636,67330524.658128,18.525143076765914
7865013,1665390158,3632533.059362,67367987.758128,18.545732869382384
7865043,1665390709,3634164.059362,67337843.906015,18.529115033358337
7865611,1665402361,3633997.469531,67334757.143873,18.529115033358334
7865762,1665405420,3633963.272351,67334123.500375,18.529115033353943
7865767,1665405559,3634001.825694,67334123.500375,18.52891845686289
7865790,1665406078,3633227.484688,67348517.441464,18.536829231117494
7865800,1665406279,3634167.484688,67331149.575834,18.52725551574696
7865964,1665409343,3634667.484688,67321915.005669,18.522166137419834
7865976,1665409655,3634867.484688,67318221.888348,18.520130973667747
7866084,1665411853,3635092.484688,67314067.616348,18.517841815550277
7866131,1665412813,3636176.09598,67294067.616348,18.506823058087157
7866156,1665413105,3651176.09598,67018431.723047,18.35529976131124
7866181,1665413484,3658051.09598,66892853.36426,18.28647320912811
7866191,1665413643,3664926.09598,66767745.443904,18.218033241418016
7866200,1665413855,3664906.9584,66768095.143904,18.218223791703885
7866258,1665415021,3667008.993848,66729936.514651,18.19737465236689
7866426,1665418270,3666899.420877,66731936.514651,18.198463839701102
