block,txHash,volume,price
9924374,0x17261ba517dc2da827a6dd04fd325d93ece2f8e48a760953bf0cd5c38d4accbf,199.045381,0.9965392172371621
9924375,0x97cd6c4461b97266920da63270b083b8a7e224c2e4b9fab24711693f35d0f7a9,757.791321,0.9965087647764624
9924388,0xf4db8c31b18e99573ed8dd261c4650351863287997ad4e6aa84386fe7a203e1f,818.278801,0.9964585248960588
9924541,0x08ec9b11cfaade487d2a08903d5f0741ad8b450a093d0d76af61be639daa2b5f,287.188038,0.9969744563460701
9924621,0x9237591f031c7473e7e76d019295263d73c6c51bf3d82c55d35ccdc21e758f98,1296.413787,0.9973672693190296
9924627,0x860956ce3ab7e163b7e4e00186471559084ea369cad6d1a03ef5d51d1f05e0a9,648.416349,0.9973108396813407
9924657,0x59516a6868a22b788fd35610bb6afeaddd870f288735ec9688ec363b18fb283e,5461.933494,0.9971326144105853
9924713,0x6c2ae107fc936cc680615e05957e42cae8220a2e678ed74bc14106987dd1775e,280.202992,0.9958019944465893
9924774,0x15fc1168fefae095c90080659e1bec5e41c029efe9077eed2b8ca815bc5494ba,203.293806,0.9957511985053545
9924796,0x8a496207ead3f18d8362807d0c31e47593fba9ca65c978629191ae4f54d9091a,270.975256,0.9957400870800236
9924831,0x619ecfc8b9a419b378cec033ad76812e86321df764b7af60ffc39e813cd78664,759.688606,0.9952432199968835
9924831,0x6e9fe19e888508020b38e8c8ac637c24aec9b3b73a6f3e3acbfa5bdac21657b8,759.655942,0.9952004279577752
9924858,0xaba1e67891a87e2311641c7aabb0bb7395eb7f2991d71ce65e43120e0f335073,493.34783,0.9951650636959299
9924866,0x2ddb54c166fd9f55cb5635b0c5c400ef197e839c6886e745ac1001911cc5ccc9,760.741081,0.9952893809449701
9924881,0x90c1d5a57e9d9e2057bbcd97a530162e9670c32f322c3a8500cbdc7c9458731a,1100.076055,0.9968306549616981
9924883,0x3ffa0bb2653f0575f31936dbe2947e6e64346b896caeb8d745197e7ff419b7bc,1096.00264,0.9967762085964065
9924886,0x87c111833410d549a0547a168524f606ef9197ecf261bf94a6c89d496bc36835,309.85694,0.9967413000094328
